model,masking,feature,mae,rmse,mre,r2,n_masked
mean,random_p0.3,heart_rate,0.7734,0.9616,1.0000,-0.1950,162
mean,random_p0.3,sbp,0.8035,1.0081,1.0000,-0.0006,146
mean,random_p0.3,dbp,0.8844,1.0509,1.0000,-0.0837,139
mean,random_p0.3,mbp,0.6614,0.7936,1.0000,-0.2478,140
mean,random_p0.3,respiratory_rate,0.7363,0.9081,1.0000,-0.0225,150
mean,random_p0.3,spo2,0.7078,0.8101,1.0000,-3.2269,9
mean,random_p0.3,temperature,0.6105,0.6524,1.0000,-1.2059,14
mean,random_p0.3,gcs,1.0864,1.2355,1.0000,-0.0465,10
mean,random_p0.3,glucose,0.8343,1.1826,1.0000,-0.0114,14
mean,random_p0.3,creatinine,0.8708,1.3085,1.0000,-0.1851,13
mean,random_p0.3,bilirubin,0.7539,1.1370,1.0000,-0.0001,12
mean,random_p0.3,bun,0.8902,1.2520,1.0000,-0.0491,10
mean,random_p0.3,wbc,0.3468,0.4282,1.0000,-0.0982,7
mean,random_p0.3,sodium,0.3515,0.4353,1.0000,-0.3305,13
mean,random_p0.3,potassium,0.5905,0.6743,1.0000,-0.5593,14
mean,random_p0.3,hematocrit,0.6182,0.7842,1.0000,-0.0320,14
mean,random_p0.3,bicarbonate,0.5827,0.6395,1.0000,-4.8862,4
locf,random_p0.3,heart_rate,0.2634,0.3990,1.8292,0.7942,162
locf,random_p0.3,sbp,0.3169,0.4208,1.0612,0.8257,146
locf,random_p0.3,dbp,0.6516,0.9425,2.6374,0.1283,139
locf,random_p0.3,mbp,0.5223,0.7425,1.7564,-0.0921,140
locf,random_p0.3,respiratory_rate,0.5403,0.8242,1.7733,0.1577,150
locf,random_p0.3,spo2,0.2192,0.3301,0.7425,0.2982,9
locf,random_p0.3,temperature,0.8688,1.2889,1.3374,-7.6088,14
locf,random_p0.3,gcs,0.7072,0.8771,0.9083,0.4726,10
locf,random_p0.3,glucose,0.5841,0.7152,1.1865,0.6300,14
locf,random_p0.3,creatinine,0.2166,0.3005,0.8256,0.9375,13
locf,random_p0.3,bilirubin,0.1577,0.2495,0.3210,0.9518,12
locf,random_p0.3,bun,0.2661,0.3033,0.5905,0.9384,10
locf,random_p0.3,wbc,0.2573,0.3531,1.8849,0.2533,7
locf,random_p0.3,sodium,0.2569,0.3335,1.4345,0.2190,13
locf,random_p0.3,potassium,0.5514,0.6609,0.9138,-0.4981,14
locf,random_p0.3,hematocrit,0.6397,0.8278,1.2784,-0.1501,14
locf,random_p0.3,bicarbonate,0.3609,0.4324,0.6925,-1.6902,4
linear_interp,random_p0.3,heart_rate,0.2199,0.3357,2.1147,0.8543,162
linear_interp,random_p0.3,sbp,0.3056,0.4078,1.0687,0.8363,146
linear_interp,random_p0.3,dbp,0.5548,0.7595,2.1173,0.4340,139
linear_interp,random_p0.3,mbp,0.4738,0.6443,1.5421,0.1775,140
linear_interp,random_p0.3,respiratory_rate,0.4515,0.6553,1.4534,0.4676,150
linear_interp,random_p0.3,spo2,0.0977,0.1324,0.3495,0.8871,9
linear_interp,random_p0.3,temperature,0.7840,1.1391,1.3018,-5.7242,14
linear_interp,random_p0.3,gcs,0.3557,0.4343,0.6564,0.8707,10
linear_interp,random_p0.3,glucose,0.5788,0.6900,1.5041,0.6557,14
linear_interp,random_p0.3,creatinine,0.2297,0.3621,0.8536,0.9093,13
linear_interp,random_p0.3,bilirubin,0.0778,0.0983,0.1828,0.9925,12
linear_interp,random_p0.3,bun,0.2083,0.2379,0.5005,0.9621,10
linear_interp,random_p0.3,wbc,0.3113,0.4515,2.2347,-0.2208,7
linear_interp,random_p0.3,sodium,0.3072,0.3883,1.6497,-0.0591,13
linear_interp,random_p0.3,potassium,0.4251,0.5485,0.6954,-0.0320,14
linear_interp,random_p0.3,hematocrit,0.5495,0.7299,1.1584,0.1058,14
linear_interp,random_p0.3,bicarbonate,0.1405,0.1585,0.3131,0.6386,4
timesfm,random_p0.3,heart_rate,0.2543,0.3955,1.7388,0.7978,162
timesfm,random_p0.3,sbp,0.3051,0.4052,0.9815,0.8383,146
timesfm,random_p0.3,dbp,0.5359,0.7213,1.7425,0.4895,139
timesfm,random_p0.3,mbp,0.4623,0.6473,1.4107,0.1699,140
timesfm,random_p0.3,respiratory_rate,0.5437,0.7785,1.9608,0.2486,150
timesfm,random_p0.3,spo2,0.4436,0.5803,1.5000,-1.1687,9
timesfm,random_p0.3,temperature,0.6247,0.8454,1.0593,-2.7037,14
timesfm,random_p0.3,gcs,0.5050,0.6435,0.9434,0.7161,10
timesfm,random_p0.3,glucose,0.5500,0.7010,1.9574,0.6446,14
timesfm,random_p0.3,creatinine,0.2747,0.3858,1.0855,0.8970,13
timesfm,random_p0.3,bilirubin,0.0880,0.1144,0.1970,0.9899,12
timesfm,random_p0.3,bun,0.3135,0.4631,0.5169,0.8565,10
timesfm,random_p0.3,wbc,0.3779,0.4461,1.9727,-0.1916,7
timesfm,random_p0.3,sodium,0.3611,0.4625,2.2335,-0.5024,13
timesfm,random_p0.3,potassium,0.4845,0.5765,0.9295,-0.1401,14
timesfm,random_p0.3,hematocrit,0.5983,0.7414,1.3644,0.0775,14
timesfm,random_p0.3,bicarbonate,0.2483,0.2695,0.5632,-0.0456,4
